job,method,seed,nodes,partition,scenario,topology,period,epochs,dataset,use_cycle,event_threshold,hidden,stride,protocol_id,split,policy,accuracy,precision,recall,f1,average_precision,roc_auc,fpr,bytes_total,training_wall_s,modeled_parallel_s
FD001_event_gossip_s11_n10_89440d1b1384,event_gossip,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.946236559139785,0.9166666666666666,0.88,0.8979591836734694,0.9770871193388357,0.991764705882353,0.029411764705882353,322620000,184.21706269000038,48.01089006299959
FD001_event_gossip_s22_n10_45444a6a701d,event_gossip,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9849788007268322,0.9,0.7048192771084337,0.7905405405405406,0.9049506917309967,0.9932049287646612,0.0032815852581093022,322620000,193.68949286000088,49.950667381997405
FD001_event_gossip_s22_n10_45444a6a701d,event_gossip,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9852210781344639,0.8723404255319149,0.7409638554216867,0.8013029315960912,0.9049506917309967,0.9932049287646612,0.004543733434305188,322620000,193.68949286000088,49.950667381997405
FD001_event_gossip_s22_n10_45444a6a701d,event_gossip,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9854633555420957,0.8605442176870748,0.7620481927710844,0.8083067092651757,0.9049506917309967,0.9932049287646612,0.00517480752240313,322620000,193.68949286000088,49.950667381997405
FD001_event_gossip_s22_n10_45444a6a701d,event_gossip,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.946236559139785,0.9545454545454546,0.84,0.8936170212765957,0.9754606738888609,0.991764705882353,0.014705882352941176,322620000,193.68949286000088,49.950667381997405
FD001_event_gossip_s22_n10_45444a6a701d,event_gossip,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.946236559139785,0.9545454545454546,0.84,0.8936170212765957,0.9754606738888609,0.991764705882353,0.014705882352941176,322620000,193.68949286000088,49.950667381997405
FD001_event_gossip_s22_n10_45444a6a701d,event_gossip,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.967741935483871,0.9583333333333334,0.92,0.9387755102040817,0.9754606738888609,0.991764705882353,0.014705882352941176,322620000,193.68949286000088,49.950667381997405
FD001_event_gossip_s33_n10_91c40fe5343a,event_gossip,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9850999394306481,0.8692579505300353,0.7409638554216867,0.8,0.9111780272298512,0.9945347463310266,0.004669948251924776,320684376,191.8047366789997,49.492536653999665
FD001_event_gossip_s33_n10_91c40fe5343a,event_gossip,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9838885523924894,0.7867435158501441,0.822289156626506,0.8041237113402062,0.9111780272298512,0.9945347463310266,0.009339896503849553,320684376,191.8047366789997,49.492536653999665
FD001_event_gossip_s33_n10_91c40fe5343a,event_gossip,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9838885523924894,0.7867435158501441,0.822289156626506,0.8041237113402062,0.9111780272298512,0.9945347463310266,0.009339896503849553,320684376,191.8047366789997,49.492536653999665
FD001_event_gossip_s33_n10_91c40fe5343a,event_gossip,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.946236559139785,1.0,0.8,0.8888888888888888,0.9842420110044234,0.9935294117647059,0.0,320684376,191.8047366789997,49.492536653999665
FD001_event_gossip_s33_n10_91c40fe5343a,event_gossip,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.956989247311828,0.92,0.92,0.92,0.9842420110044234,0.9935294117647059,0.029411764705882353,320684376,191.8047366789997,49.492536653999665
FD001_event_gossip_s33_n10_91c40fe5343a,event_gossip,33,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.956989247311828,0.92,0.92,0.92,0.9842420110044234,0.9935294117647059,0.029411764705882353,320684376,191.8047366789997,49.492536653999665
FD001_event_gossip_s44_n10_797f7c96c20f,event_gossip,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9841308298001211,0.7947214076246334,0.8162650602409639,0.8053491827637445,0.8949337843888657,0.992473871251762,0.008835037233371198,322620000,185.74022097700163,47.897595724005
FD001_event_gossip_s44_n10_797f7c96c20f,event_gossip,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9847365233192005,0.9256198347107438,0.6746987951807228,0.7804878048780488,0.8949337843888657,0.992473871251762,0.002271866717152594,322620000,185.74022097700163,47.897595724005
FD001_event_gossip_s44_n10_797f7c96c20f,event_gossip,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9853422168382798,0.8836363636363637,0.7319277108433735,0.800658978583196,0.8949337843888657,0.992473871251762,0.004038874163826834,322620000,185.74022097700163,47.897595724005
FD001_event_gossip_s44_n10_797f7c96c20f,event_gossip,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.946236559139785,0.9166666666666666,0.88,0.8979591836734694,0.9770968112347425,0.9911764705882353,0.029411764705882353,322620000,185.74022097700163,47.897595724005
FD001_event_gossip_s44_n10_797f7c96c20f,event_gossip,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.9354838709677419,1.0,0.76,0.8636363636363636,0.9770968112347425,0.9911764705882353,0.0,322620000,185.74022097700163,47.897595724005
FD001_event_gossip_s44_n10_797f7c96c20f,event_gossip,44,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.946236559139785,0.9545454545454546,0.84,0.8936170212765957,0.9770968112347425,0.9911764705882353,0.014705882352941176,322620000,185.74022097700163,47.897595724005
FD001_event_gossip_s55_n10_fb580757d4a6,event_gossip,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9826771653543307,0.8620689655172413,0.677710843373494,0.7588532883642496,0.8789309863572703,0.9929996396034725,0.004543733434305188,321329584,189.30807791499683,49.79483439800926
FD001_event_gossip_s55_n10_fb580757d4a6,event_gossip,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9800121138703816,0.7553516819571865,0.7439759036144579,0.7496206373292867,0.8789309863572703,0.9929996396034725,0.010097185409567083,321329584,189.30807791499683,49.79483439800926
FD001_event_gossip_s55_n10_fb580757d4a6,event_gossip,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9796486977589339,0.7440476190476191,0.7530120481927711,0.7485029940119761,0.8789309863572703,0.9929996396034725,0.010854474315284614,321329584,189.30807791499683,49.79483439800926
FD001_event_gossip_s55_n10_fb580757d4a6,event_gossip,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.946236559139785,0.9545454545454546,0.84,0.8936170212765957,0.9754326626843792,0.9911764705882353,0.014705882352941176,321329584,189.30807791499683,49.79483439800926
FD001_event_gossip_s55_n10_fb580757d4a6,event_gossip,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.956989247311828,0.9565217391304348,0.88,0.9166666666666666,0.9754326626843792,0.9911764705882353,0.014705882352941176,321329584,189.30807791499683,49.79483439800926
FD001_event_gossip_s55_n10_fb580757d4a6,event_gossip,55,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.967741935483871,0.9583333333333334,0.92,0.9387755102040817,0.9754326626843792,0.9911764705882353,0.014705882352941176,321329584,189.30807791499683,49.79483439800926
FD001_event_gossip_weighted_s11_n10_d39ca5eff10f,event_gossip_weighted,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9802543912780133,0.6817204301075269,0.9548192771084337,0.795483061480552,0.9316625543225544,0.9964895553436769,0.018679793007699105,322620000,193.42690348099973,48.78988575599921
FD001_event_gossip_weighted_s11_n10_d39ca5eff10f,event_gossip_weighted,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.9874015748031496,0.8904109589041096,0.7831325301204819,0.8333333333333334,0.9316625543225544,0.9964895553436769,0.004038874163826834,322620000,193.42690348099973,48.78988575599921
FD001_event_gossip_weighted_s11_n10_d39ca5eff10f,event_gossip_weighted,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9874015748031496,0.8904109589041096,0.7831325301204819,0.8333333333333334,0.9316625543225544,0.9964895553436769,0.004038874163826834,322620000,193.42690348099973,48.78988575599921
FD001_event_gossip_weighted_s11_n10_d39ca5eff10f,event_gossip_weighted,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.967741935483871,0.8928571428571429,1.0,0.9433962264150944,0.9541364636216301,0.9858823529411765,0.04411764705882353,322620000,193.42690348099973,48.78988575599921
FD001_event_gossip_weighted_s11_n10_d39ca5eff10f,event_gossip_weighted,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.9354838709677419,0.9130434782608695,0.84,0.875,0.9541364636216301,0.9858823529411765,0.029411764705882353,322620000,193.42690348099973,48.78988575599921
FD001_event_gossip_weighted_s11_n10_d39ca5eff10f,event_gossip_weighted,11,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.9354838709677419,0.9130434782608695,0.84,0.875,0.9541364636216301,0.9858823529411765,0.029411764705882353,322620000,193.42690348099973,48.78988575599921
FD001_event_gossip_weighted_s22_n10_02cdb21b404a,event_gossip_weighted,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,fixed,0.9831617201695941,0.7601078167115903,0.8493975903614458,0.802275960170697,0.8992286307602317,0.9928992760135582,0.01123311876814338,321974792,189.67865127600044,49.28158692999979
FD001_event_gossip_weighted_s22_n10_02cdb21b404a,event_gossip_weighted,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_f1,0.984251968503937,0.8740740740740741,0.7108433734939759,0.7840531561461794,0.8992286307602317,0.9928992760135582,0.00429130379906601,321974792,189.67865127600044,49.28158692999979
FD001_event_gossip_weighted_s22_n10_02cdb21b404a,event_gossip_weighted,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_all,val_fpr02,0.9831617201695941,0.8875502008032129,0.6656626506024096,0.7607573149741824,0.8992286307602317,0.9928992760135582,0.003534014893348479,321974792,189.67865127600044,49.28158692999979
FD001_event_gossip_weighted_s22_n10_02cdb21b404a,event_gossip_weighted,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,fixed,0.946236559139785,0.8846153846153846,0.92,0.9019607843137255,0.984512529016877,0.9941176470588236,0.04411764705882353,321974792,189.67865127600044,49.28158692999979
FD001_event_gossip_weighted_s22_n10_02cdb21b404a,event_gossip_weighted,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_f1,0.946236559139785,0.9545454545454546,0.84,0.8936170212765957,0.984512529016877,0.9941176470588236,0.014705882352941176,321974792,189.67865127600044,49.28158692999979
FD001_event_gossip_weighted_s22_n10_02cdb21b404a,event_gossip_weighted,22,10,iid,none,ring,1,50,FD001,True,0.02,"[100, 50]",1,22b20344bb16,test_terminal,val_fpr02,0.9354838709677419,1.0,0.76,0.8636363636363636,0.984512529016877,0.9941176470588236,0.0,321974792,189.67865127600044,49.28158692999979
